

########## payment_config  (sample; table has 148 rows) ##########
id,file_line_no,transaction_type_raw,transaction_type_norm,description_raw,description_norm,is_desc_wildcard,amount_field,record_ref_template,summary_pos,summary_neg,raw
28,29,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_RETURN,FBA_INVENTORY_REIMBURSEMENT_CUSTOMER_RETURN,f,total,txn_ref+sku+ADJUSTMENT+settlement_id+date,"","","{""record_ref"": ""txn_ref+sku+ADJUSTMENT+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_RETURN"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
29,30,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_FEE_CORRECTION,FBA_INVENTORY_REIMBURSEMENT_FEE_CORRECTION,f,total,FBA_INVENTORY_REIMBURSEMENT_FEE_CORRECTION+settlement_id+date,"","","{""record_ref"": ""FBA_INVENTORY_REIMBURSEMENT_FEE_CORRECTION+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_FEE_CORRECTION"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
30,31,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_FEE_CORRECTION,FBA_INVENTORY_REIMBURSEMENT_FEE_CORRECTION,f,other,FBA_INVENTORY_REIMBURSEMENT_FEE_CORRECTION+settlement_id+date,sales_other,"","{""record_ref"": ""FBA_INVENTORY_REIMBURSEMENT_FEE_CORRECTION+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_FEE_CORRECTION"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": ""sales_other""}"
31,32,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_LOST:INBOUND,FBA_INVENTORY_REIMBURSEMENT_LOST_INBOUND,f,other,LOST:INBOUND+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements,"{""record_ref"": ""LOST:INBOUND+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_LOST:INBOUND"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""expenses_reversed_reimbursements"", ""to_summary_field_when_positive_amount"": ""sales_inventory_reimbursements""}"
32,33,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_LOST:INBOUND,FBA_INVENTORY_REIMBURSEMENT_LOST_INBOUND,f,total,LOST:INBOUND+sku+settlement_id+date,"","","{""record_ref"": ""LOST:INBOUND+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_LOST:INBOUND"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
33,34,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_DAMAGED:WAREHOUSE,FBA_INVENTORY_REIMBURSEMENT_DAMAGED_WAREHOUSE,f,other,DAMAGED:WAREHOUSE+sku+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements,"{""record_ref"": ""DAMAGED:WAREHOUSE+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_DAMAGED:WAREHOUSE"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""expenses_reversed_reimbursements"", ""to_summary_field_when_positive_amount"": ""sales_inventory_reimbursements""}"
34,35,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_DAMAGED:WAREHOUSE,FBA_INVENTORY_REIMBURSEMENT_DAMAGED_WAREHOUSE,f,total,DAMAGED:WAREHOUSE+sku+settlement_id+date,"","","{""record_ref"": ""DAMAGED:WAREHOUSE+sku+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_DAMAGED:WAREHOUSE"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
35,36,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_SERVICE_ISSUE,FBA_INVENTORY_REIMBURSEMENT_CUSTOMER_SERVICE_ISSUE,f,other,txn_ref+sku+ADJUSTMENT+settlement_id+date,sales_inventory_reimbursements,expenses_reversed_reimbursements,"{""record_ref"": ""txn_ref+sku+ADJUSTMENT+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_SERVICE_ISSUE"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""expenses_reversed_reimbursements"", ""to_summary_field_when_positive_amount"": ""sales_inventory_reimbursements""}"
36,37,ADJUSTMENT,ADJUSTMENT,FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_SERVICE_ISSUE,FBA_INVENTORY_REIMBURSEMENT_CUSTOMER_SERVICE_ISSUE,f,total,txn_ref+sku+ADJUSTMENT+settlement_id+date,"","","{""record_ref"": ""txn_ref+sku+ADJUSTMENT+settlement_id+date"", ""description"": ""FBA_INVENTORY_REIMBURSEMENT_-_CUSTOMER_SERVICE_ISSUE"", ""amount_field"": ""total"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": """", ""to_summary_field_when_positive_amount"": """"}"
37,38,ADJUSTMENT,ADJUSTMENT,OTHER,OTHER,f,other,ADJUSTMENT_OTHER+settlement_id+date,total_adjustment_other_buyer_recharge_amt,total_adjustment_other_buyer_recharge_amt,"{""record_ref"": ""ADJUSTMENT_OTHER+settlement_id+date"", ""description"": ""OTHER"", ""amount_field"": ""other"", ""transaction_type"": ""ADJUSTMENT"", ""to_summary_field_when_negative_amount"": ""total_adjustment_other_buyer_recharge_amt"", ""to_summary_field_when_positive_amount"": ""total_adjustment_other_buyer_recharge_amt""}"
